t=2022-12-19T23:17:38-0800 lvl=info msg="no configuration paths supplied"
t=2022-12-19T23:17:38-0800 lvl=info msg="using configuration at default config path" path=/root/.config/ngrok/ngrok.yml
t=2022-12-19T23:17:38-0800 lvl=info msg="open config file" path=/root/.config/ngrok/ngrok.yml err=nil
t=2022-12-19T23:17:38-0800 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040
t=2022-12-19T23:17:39-0800 lvl=info msg="tunnel session started" obj=tunnels.session
t=2022-12-19T23:17:39-0800 lvl=info msg="client session established" obj=csess id=e86c2e29c65b
t=2022-12-19T23:30:54-0800 lvl=info msg="join connections" obj=join id=4b9d3297e6c8 l=[::1]:8080 r=123.21.127.80:63905
t=2022-12-19T23:30:54-0800 lvl=info msg="join connections" obj=join id=6aeef93160b5 l=[::1]:8080 r=123.21.127.80:63905
t=2022-12-19T23:30:55-0800 lvl=info msg="join connections" obj=join id=4d93100831fb l=[::1]:8080 r=123.21.127.80:63905
t=2022-12-19T23:30:55-0800 lvl=info msg="join connections" obj=join id=e8553768f480 l=[::1]:8080 r=123.21.127.80:63905
t=2022-12-19T23:30:55-0800 lvl=info msg="join connections" obj=join id=e6f14883a260 l=[::1]:8080 r=123.21.127.80:63905
t=2022-12-19T23:30:55-0800 lvl=info msg="join connections" obj=join id=b689cc6d7ada l=[::1]:8080 r=123.21.127.80:63905
t=2022-12-19T23:30:55-0800 lvl=info msg="join connections" obj=join id=fd58919a8186 l=[::1]:8080 r=123.21.127.80:63905
t=2022-12-19T23:30:55-0800 lvl=info msg="join connections" obj=join id=72c30cea2217 l=[::1]:8080 r=123.21.127.80:63905
t=2022-12-19T23:30:55-0800 lvl=info msg="join connections" obj=join id=bed77bdbb457 l=[::1]:8080 r=123.21.127.80:63905
t=2022-12-19T23:30:55-0800 lvl=info msg="join connections" obj=join id=933ba654a0c1 l=[::1]:8080 r=123.21.127.80:63905
t=2022-12-19T23:30:55-0800 lvl=info msg="join connections" obj=join id=51679f52fa43 l=[::1]:8080 r=123.21.127.80:63905
t=2022-12-19T23:30:55-0800 lvl=info msg="join connections" obj=join id=d38365fcada2 l=[::1]:8080 r=123.21.127.80:63905
t=2022-12-19T23:31:05-0800 lvl=info msg="join connections" obj=join id=fc44ec1a18c8 l=[::1]:8080 r=123.21.127.80:63905
t=2022-12-19T23:31:06-0800 lvl=info msg="join connections" obj=join id=be82bda983e9 l=[::1]:8080 r=123.21.127.80:63905
t=2022-12-19T23:31:06-0800 lvl=info msg="join connections" obj=join id=334252e650a4 l=[::1]:8080 r=123.21.127.80:63905
t=2022-12-19T23:31:06-0800 lvl=info msg="join connections" obj=join id=46e4a0347b19 l=[::1]:8080 r=123.21.127.80:63905
t=2022-12-19T23:31:06-0800 lvl=info msg="join connections" obj=join id=9bd9c47c8a00 l=[::1]:8080 r=123.21.127.80:63905
t=2022-12-19T23:31:06-0800 lvl=info msg="join connections" obj=join id=3e7d3ae12a59 l=[::1]:8080 r=123.21.127.80:63905
t=2022-12-19T23:31:06-0800 lvl=info msg="join connections" obj=join id=82c657b58680 l=[::1]:8080 r=123.21.127.80:63905
t=2022-12-19T23:31:06-0800 lvl=info msg="join connections" obj=join id=bd24542e841e l=[::1]:8080 r=123.21.127.80:63905
t=2022-12-19T23:31:06-0800 lvl=info msg="join connections" obj=join id=2c4bf3182a7e l=[::1]:8080 r=123.21.127.80:63905
t=2022-12-19T23:31:06-0800 lvl=info msg="join connections" obj=join id=aceab2296420 l=[::1]:8080 r=123.21.127.80:63905
t=2022-12-19T23:31:06-0800 lvl=info msg="join connections" obj=join id=b1a2c046a7d2 l=[::1]:8080 r=123.21.127.80:63905
t=2022-12-19T23:31:06-0800 lvl=info msg="join connections" obj=join id=929f8af2c495 l=[::1]:8080 r=123.21.127.80:63905
t=2022-12-19T23:31:06-0800 lvl=info msg="join connections" obj=join id=234e3fe39108 l=[::1]:8080 r=123.21.127.80:63905
t=2022-12-19T23:31:06-0800 lvl=info msg="join connections" obj=join id=d507848a86cf l=[::1]:8080 r=123.21.127.80:63905
t=2022-12-19T23:31:06-0800 lvl=info msg="join connections" obj=join id=2d6787411078 l=[::1]:8080 r=123.21.127.80:63905
t=2022-12-19T23:31:06-0800 lvl=info msg="join connections" obj=join id=191b45b5f295 l=[::1]:8080 r=123.21.127.80:63905
t=2022-12-19T23:31:06-0800 lvl=info msg="join connections" obj=join id=bb990acf6a76 l=[::1]:8080 r=123.21.127.80:63905
t=2022-12-19T23:31:07-0800 lvl=info msg="join connections" obj=join id=ec0f4d5251b7 l=[::1]:8080 r=[2001:ee0:4f84:35f0:d02d:f9d4:fa5a:b784]:56089
t=2022-12-19T23:31:07-0800 lvl=info msg="join connections" obj=join id=2b3e4e2f9bd4 l=[::1]:8080 r=[2001:ee0:4f84:35f0:d02d:f9d4:fa5a:b784]:56089
t=2022-12-19T23:31:09-0800 lvl=info msg="join connections" obj=join id=8640ebb578fc l=[::1]:8080 r=123.21.127.80:63905
t=2022-12-19T23:31:09-0800 lvl=info msg="join connections" obj=join id=c1dd0a37cafa l=[::1]:8080 r=123.21.127.80:63905
t=2022-12-19T23:31:09-0800 lvl=info msg="join connections" obj=join id=f3bdefe33592 l=[::1]:8080 r=123.21.127.80:63905
t=2022-12-19T23:31:09-0800 lvl=info msg="join connections" obj=join id=b238c2affd71 l=[::1]:8080 r=123.21.127.80:63905
t=2022-12-19T23:31:09-0800 lvl=info msg="join connections" obj=join id=0c5f96a2406d l=[::1]:8080 r=123.21.127.80:63905
t=2022-12-19T23:31:09-0800 lvl=info msg="join connections" obj=join id=b5e13863684b l=[::1]:8080 r=123.21.127.80:63905
t=2022-12-19T23:31:09-0800 lvl=info msg="join connections" obj=join id=3016802aaf63 l=[::1]:8080 r=123.21.127.80:63905
t=2022-12-19T23:31:09-0800 lvl=info msg="join connections" obj=join id=37a414f518d2 l=[::1]:8080 r=123.21.127.80:63905
t=2022-12-19T23:31:09-0800 lvl=info msg="join connections" obj=join id=3ed2f597b739 l=[::1]:8080 r=123.21.127.80:63905
t=2022-12-19T23:31:09-0800 lvl=info msg="join connections" obj=join id=462274b74fd8 l=[::1]:8080 r=123.21.127.80:63905
t=2022-12-19T23:31:09-0800 lvl=info msg="join connections" obj=join id=b6232b29c878 l=[::1]:8080 r=123.21.127.80:63905
t=2022-12-19T23:31:09-0800 lvl=info msg="join connections" obj=join id=afa0960bc744 l=[::1]:8080 r=123.21.127.80:63905
t=2022-12-19T23:31:09-0800 lvl=info msg="join connections" obj=join id=09dd09755eb0 l=[::1]:8080 r=123.21.127.80:63905
t=2022-12-19T23:31:09-0800 lvl=info msg="join connections" obj=join id=b5a5854dd0c5 l=[::1]:8080 r=123.21.127.80:63905
t=2022-12-19T23:31:09-0800 lvl=info msg="join connections" obj=join id=f5378311f6de l=[::1]:8080 r=123.21.127.80:63905
t=2022-12-19T23:31:09-0800 lvl=info msg="join connections" obj=join id=8c0ef9c3edd6 l=[::1]:8080 r=123.21.127.80:63905
t=2022-12-19T23:31:09-0800 lvl=info msg="join connections" obj=join id=68c18e73a147 l=[::1]:8080 r=123.21.127.80:63905
t=2022-12-19T23:31:09-0800 lvl=info msg="join connections" obj=join id=229d9249c203 l=[::1]:8080 r=123.21.127.80:63905
t=2022-12-19T23:31:09-0800 lvl=info msg="join connections" obj=join id=95e5cfa6a8d9 l=[::1]:8080 r=123.21.127.80:63905
t=2022-12-19T23:31:09-0800 lvl=info msg="join connections" obj=join id=01271ece744b l=[::1]:8080 r=[2001:ee0:4f84:35f0:d02d:f9d4:fa5a:b784]:56089
t=2022-12-19T23:31:09-0800 lvl=info msg="join connections" obj=join id=bb5cc886289b l=[::1]:8080 r=[2001:ee0:4f84:35f0:d02d:f9d4:fa5a:b784]:56089
t=2022-12-19T23:31:09-0800 lvl=info msg="join connections" obj=join id=c1856a9c65e2 l=[::1]:8080 r=[2001:ee0:4f84:35f0:d02d:f9d4:fa5a:b784]:56089
t=2022-12-19T23:31:09-0800 lvl=info msg="join connections" obj=join id=8c7bae94bd3d l=[::1]:8080 r=[2001:ee0:4f84:35f0:d02d:f9d4:fa5a:b784]:56089
